%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032214844389475,1173349,1552032214844235451,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214845280415,1173350,1552032214845097989,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214846041246,1173351,1552032214845903225,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214846866869,1173352,1552032214846737153,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214847698317,1173353,1552032214847565466,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214848608322,1173354,1552032214848428321,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214849461521,1173355,1552032214849256923,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214850289259,1173356,1552032214850098624,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214851130294,1173357,1552032214850931432,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214851951742,1173358,1552032214851765090,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214852729951,1173359,1552032214852571090,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214853599938,1173360,1552032214853404314,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214854467114,1173361,1552032214854264936,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214855301267,1173362,1552032214855098275,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214856129350,1173363,1552032214855931721,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214856909754,1173364,1552032214856769833,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214857721588,1173365,1552032214857570237,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214858520874,1173366,1552032214858395561,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214859341134,1173367,1552032214859236864,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214860231078,1173368,1552032214860086781,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214861056398,1173369,1552032214860904069,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214861957412,1173370,1552032214861737750,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214862790384,1173371,1552032214862600604,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214863620616,1173372,1552032214863431864,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214864456448,1173373,1552032214864264502,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214865266502,1173374,1552032214865069666,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214866128161,1173375,1552032214865932212,leptrino,-7.6,0.85,-4.8,0.046,0.0332,-0.3864
1552032214866952455,1173376,1552032214866766111,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214867736972,1173377,1552032214867569690,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214868601769,1173378,1552032214868403120,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214869455024,1173379,1552032214869257039,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214870290947,1173380,1552032214870092052,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214871119187,1173381,1552032214870926144,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214871933093,1173382,1552032214871736350,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214872775835,1173383,1552032214872569717,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214873628951,1173384,1552032214873421323,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214874454290,1173385,1552032214874265237,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214875295905,1173386,1552032214875093027,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214876092677,1173387,1552032214875903030,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214876906180,1173388,1552032214876736384,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214877754305,1173389,1552032214877565118,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214878605081,1173390,1552032214878402790,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214879436820,1173391,1552032214879236734,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
1552032214880268749,1173392,1552032214880070190,leptrino,-7.6,0.85,-4.85,0.046,0.0332,-0.3864
