%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032195836688374,1150564,1552032195836433394,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195837340711,1150565,1552032195837231221,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195838182949,1150566,1552032195838063405,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195839067392,1150567,1552032195838895615,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195839881806,1150568,1552032195839762805,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195840731487,1150569,1552032195840594866,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195841602049,1150570,1552032195841419104,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195842427420,1150571,1552032195842257305,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195843222088,1150572,1552032195843090395,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195844070642,1150573,1552032195843902048,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195844877563,1150574,1552032195844735698,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195845734996,1150575,1552032195845563982,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195847508119,1150576,1552032195847317087,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195847524877,1150577,1552032195847328795,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195848274624,1150578,1552032195848101861,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195849104173,1150579,1552032195848931874,leptrino,-7.55,1.1,-4.7,0.0504,0.038,-0.3956
1552032195849898390,1150580,1552032195849735288,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195850728183,1150581,1552032195850567731,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195852462669,1150582,1552032195852327317,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195852472888,1150583,1552032195852339801,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195853228363,1150584,1552032195853068084,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195854087205,1150585,1552032195853931585,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195854904013,1150586,1552032195854735103,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195855734846,1150587,1552032195855568459,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195856570847,1150588,1552032195856412205,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195857394936,1150589,1552032195857234055,leptrino,-7.55,1.05,-4.75,0.0504,0.038,-0.396
1552032195858240124,1150590,1552032195858069214,leptrino,-7.55,1.1,-4.75,0.0504,0.038,-0.3964
1552032195859098805,1150591,1552032195858927919,leptrino,-7.55,1.1,-4.75,0.0504,0.038,-0.3964
1552032195859873174,1150592,1552032195859736100,leptrino,-7.55,1.1,-4.75,0.0504,0.038,-0.3964
1552032195860727642,1150593,1552032195860568504,leptrino,-7.55,1.1,-4.75,0.0504,0.038,-0.3964
1552032195861622667,1150594,1552032195861432963,leptrino,-7.55,1.1,-4.75,0.0504,0.038,-0.3964
