%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032102406715188,1038556,1552032102406085939,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.3836
1552032102407041551,1038557,1552032102406922754,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.3836
1552032102407906086,1038558,1552032102407749954,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102408757709,1038559,1552032102408612287,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102409600106,1038560,1552032102409441214,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102410490229,1038561,1552032102410283374,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102411303940,1038562,1552032102411112882,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102412112274,1038563,1552032102411924336,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102412897039,1038564,1552032102412757389,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102413785733,1038565,1552032102413585491,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102414642682,1038566,1552032102414423954,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102415449545,1038567,1552032102415255514,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102416280441,1038568,1552032102416105156,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102417156014,1038569,1552032102416967090,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102417170008,1038570,1552032102416978693,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102418796625,1038571,1552032102418615503,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102419597561,1038572,1552032102419415658,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102420426920,1038573,1552032102420250466,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102421242203,1038574,1552032102421078051,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102422031352,1038575,1552032102421911892,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102422816656,1038576,1552032102422704897,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
1552032102423717112,1038577,1552032102423603328,leptrino,-7.6,0.8,-4.95,0.0464,0.0328,-0.384
