%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032139839657507,1083439,1552032139839438197,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139840436200,1083440,1552032139840242427,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139841229106,1083441,1552032139841069067,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139842021085,1083442,1552032139841903306,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139842896413,1083443,1552032139842758465,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139843730853,1083444,1552032139843591026,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139844555538,1083445,1552032139844403212,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139845447729,1083446,1552032139845263653,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139846268249,1083447,1552032139846099974,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139847084959,1083448,1552032139846933161,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139847922587,1083449,1552032139847766619,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139848748278,1083450,1552032139848604984,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139849610946,1083451,1552032139849437165,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139850419006,1083452,1552032139850234836,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139851275087,1083453,1552032139851099211,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139852088031,1083454,1552032139851903914,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139852908281,1083455,1552032139852737230,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139853740315,1083456,1552032139853567392,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139854577975,1083457,1552032139854425270,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139855367729,1083458,1552032139855234487,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139856276090,1083459,1552032139856087807,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139857084657,1083460,1552032139856930732,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139857903689,1083461,1552032139857731933,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139858693242,1083462,1552032139858565122,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139859502636,1083463,1552032139859419600,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139860425011,1083464,1552032139860253272,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139861245082,1083465,1552032139861087739,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139862087737,1083466,1552032139861925985,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139862910778,1083467,1552032139862753678,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139863758783,1083468,1552032139863592115,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139864584543,1083469,1552032139864421120,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139865406553,1083470,1552032139865254649,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.3904
1552032139866250999,1083471,1552032139866087566,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.3904
1552032139867074961,1083472,1552032139866923104,leptrino,-7.6,0.9,-4.75,0.0492,0.036,-0.3904
1552032139867886812,1083473,1552032139867753210,leptrino,-7.6,0.9,-4.75,0.0492,0.036,-0.3904
1552032139868750467,1083474,1552032139868586984,leptrino,-7.6,0.9,-4.75,0.0492,0.036,-0.3904
1552032139869589032,1083475,1552032139869420517,leptrino,-7.6,0.9,-4.75,0.0492,0.036,-0.3904
1552032139870407694,1083476,1552032139870253206,leptrino,-7.6,0.9,-4.7,0.0492,0.036,-0.3904
1552032139871219742,1083477,1552032139871089024,leptrino,-7.6,0.9,-4.7,0.0492,0.036,-0.3904
1552032139872070717,1083478,1552032139871919782,leptrino,-7.6,0.9,-4.7,0.0492,0.036,-0.3904
1552032139872916994,1083479,1552032139872753827,leptrino,-7.6,0.9,-4.7,0.0492,0.036,-0.3904
1552032139873773314,1083480,1552032139873599256,leptrino,-7.6,0.9,-4.7,0.0492,0.036,-0.3904
1552032139874595903,1083481,1552032139874434596,leptrino,-7.6,0.9,-4.7,0.0492,0.036,-0.3904
1552032139875418459,1083482,1552032139875267218,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139876284028,1083483,1552032139876133694,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139877096679,1083484,1552032139876939548,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139877903839,1083485,1552032139877766695,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139878744640,1083486,1552032139878601092,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139879587715,1083487,1552032139879433608,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139880380185,1083488,1552032139880237184,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139881248305,1083489,1552032139881102053,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139882042100,1083490,1552032139881904865,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139882897717,1083491,1552032139882766213,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139883718220,1083492,1552032139883600340,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139884593291,1083493,1552032139884433369,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139885436798,1083494,1552032139885267235,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139886262370,1083495,1552032139886098849,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139887103388,1083496,1552032139886932409,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139887927231,1083497,1552032139887770651,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139888758362,1083498,1552032139888602333,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139889602122,1083499,1552032139889437394,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139890417142,1083500,1552032139890268431,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.3904
1552032139891261053,1083501,1552032139891099941,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139892093778,1083502,1552032139891933164,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139892934068,1083503,1552032139892771063,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139894974724,1083504,1552032139893599499,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139894985593,1083505,1552032139894403679,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139895357136,1083506,1552032139895238886,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139896210693,1083507,1552032139896099515,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139897125683,1083508,1552032139896967140,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139897893477,1083509,1552032139897739929,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139898753879,1083510,1552032139898606369,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139899517520,1083511,1552032139899399804,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139900381336,1083512,1552032139900231178,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139901211324,1083513,1552032139901065833,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139902067971,1083514,1552032139901898388,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139902874427,1083515,1552032139902731686,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139903778982,1083516,1552032139903589870,leptrino,-7.6,0.9,-4.7,0.0488,0.036,-0.39
1552032139904627333,1083517,1552032139904432959,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139905454285,1083518,1552032139905266987,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139906265780,1083519,1552032139906070474,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139907111655,1083520,1552032139906927076,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139907925341,1083521,1552032139907738230,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139908752838,1083522,1552032139908571074,leptrino,-7.6,0.9,-4.75,0.0488,0.036,-0.39
1552032139909603615,1083523,1552032139909405657,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139910427160,1083524,1552032139910237514,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139911276126,1083525,1552032139911101124,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139912091311,1083526,1552032139911905414,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139912977832,1083527,1552032139912766203,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139913747615,1083528,1552032139913572008,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139914564125,1083529,1552032139914404195,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139915375120,1083530,1552032139915237740,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139916250124,1083531,1552032139916071032,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139917076912,1083532,1552032139916904228,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139917953571,1083533,1552032139917766296,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139918750626,1083534,1552032139918570763,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139919602094,1083535,1552032139919425782,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139920462335,1083536,1552032139920259300,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139921285542,1083537,1552032139921093119,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139922093210,1083538,1552032139921925463,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139922926480,1083539,1552032139922755854,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139923735402,1083540,1552032139923566938,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139924572805,1083541,1552032139924400028,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139925416819,1083542,1552032139925233634,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139926236186,1083543,1552032139926066830,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139927047820,1083544,1552032139926899786,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139927901566,1083545,1552032139927733302,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139928716113,1083546,1552032139928566719,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139929575577,1083547,1552032139929400336,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139930395212,1083548,1552032139930232951,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139931237790,1083549,1552032139931066596,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139932068364,1083550,1552032139931899974,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139932905114,1083551,1552032139932733463,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139933707490,1083552,1552032139933566818,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139935480587,1083553,1552032139935286041,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139935495472,1083554,1552032139935298124,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139936278633,1083555,1552032139936098471,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139937099207,1083556,1552032139936932550,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139937874547,1083557,1552032139937734307,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139938733989,1083558,1552032139938567164,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139939534376,1083559,1552032139939400355,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139940408622,1083560,1552032139940233167,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139941257380,1083561,1552032139941067465,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139942082529,1083562,1552032139941902991,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139942895479,1083563,1552032139942736285,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139943737365,1083564,1552032139943570631,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139944563113,1083565,1552032139944403947,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139945448976,1083566,1552032139945263216,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139946274910,1083567,1552032139946093463,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139947103042,1083568,1552032139946927717,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139947899361,1083569,1552032139947734446,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139948751460,1083570,1552032139948567293,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139949597048,1083571,1552032139949403567,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139950434474,1083572,1552032139950237342,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139951264455,1083573,1552032139951070719,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139952098371,1083574,1552032139951904319,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139952941606,1083575,1552032139952737971,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139953762669,1083576,1552032139953571302,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139954613619,1083577,1552032139954421103,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139955427966,1083578,1552032139955236762,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139956243414,1083579,1552032139956070421,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139957127705,1083580,1552032139956935728,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139957952073,1083581,1552032139957759488,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139958758772,1083582,1552032139958593076,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139959570700,1083583,1552032139959412555,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139960427113,1083584,1552032139960236983,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139961256571,1083585,1552032139961070601,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139962099212,1083586,1552032139961903772,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139962909414,1083587,1552032139962737337,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139963757272,1083588,1552032139963570555,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139964602469,1083589,1552032139964412902,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139965432776,1083590,1552032139965237410,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139966265779,1083591,1552032139966070366,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139967089642,1083592,1552032139966903355,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139967921471,1083593,1552032139967737808,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139968716814,1083594,1552032139968570980,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139969556499,1083595,1552032139969410798,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139970398098,1083596,1552032139970237559,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139971215837,1083597,1552032139971069690,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139972049077,1083598,1552032139971903962,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139972905257,1083599,1552032139972766325,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139973769457,1083600,1552032139973602242,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139974607430,1083601,1552032139974439746,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139975431066,1083602,1552032139975265744,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139976289691,1083603,1552032139976099432,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139977093247,1083604,1552032139976904771,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139977922421,1083605,1552032139977738377,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139978737994,1083606,1552032139978571521,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139980486138,1083607,1552032139980291705,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139980499696,1083608,1552032139980303910,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139981227386,1083609,1552032139981070486,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139982063827,1083610,1552032139981904042,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139982919312,1083611,1552032139982733891,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139983754223,1083612,1552032139983568831,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139984601339,1083613,1552032139984413435,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139985396807,1083614,1552032139985237516,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139986246835,1083615,1552032139986070695,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139987078571,1083616,1552032139986904548,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139987901618,1083617,1552032139987737122,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139988749886,1083618,1552032139988600156,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139989552903,1083619,1552032139989401262,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139990413929,1083620,1552032139990236297,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139991238646,1083621,1552032139991071411,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139992103508,1083622,1552032139991923087,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139992903369,1083623,1552032139992738266,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139993745921,1083624,1552032139993571252,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139994575278,1083625,1552032139994405190,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139995379447,1083626,1552032139995237634,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032139996245750,1083627,1552032139996071653,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139997978699,1083628,1552032139997787336,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139997991903,1083629,1552032139997800015,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032139998711287,1083630,1552032139998572319,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140000422048,1083631,1552032140000250449,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140000434655,1083632,1552032140000258861,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140001235626,1083633,1552032140001072492,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140002069017,1083634,1552032140001903971,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140002933228,1083635,1552032140002766497,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140003770889,1083636,1552032140003599605,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140004576471,1083637,1552032140004435024,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140005426636,1083638,1552032140005267837,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140006270224,1083639,1552032140006099627,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140007099296,1083640,1552032140006933230,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140007945196,1083641,1552032140007766262,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140008737740,1083642,1552032140008600341,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140009606784,1083643,1552032140009435498,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140010434391,1083644,1552032140010261235,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140011234261,1083645,1552032140011071524,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140012071564,1083646,1552032140011913232,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140013797761,1083647,1552032140013626952,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140013812905,1083648,1552032140013639778,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140014601774,1083649,1552032140014432161,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140015414608,1083650,1552032140015259929,leptrino,-7.55,0.95,-4.75,0.0488,0.036,-0.39
1552032140016222778,1083651,1552032140016071117,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140017073194,1083652,1552032140016904783,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140017873559,1083653,1552032140017737779,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140018685361,1083654,1552032140018571015,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140019547707,1083655,1552032140019412337,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140020396347,1083656,1552032140020237324,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140021236638,1083657,1552032140021071160,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140022073319,1083658,1552032140021904174,leptrino,-7.6,0.95,-4.75,0.0488,0.036,-0.39
1552032140022906536,1083659,1552032140022738486,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140023701000,1083660,1552032140023571184,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140024479237,1083661,1552032140024399918,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140025468793,1083662,1552032140025257569,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140026239947,1083663,1552032140026104163,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140027097094,1083664,1552032140026935578,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140027922276,1083665,1552032140027765211,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140028794396,1083666,1552032140028605176,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140029658544,1083667,1552032140029402849,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140030516814,1083668,1552032140030324101,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140031253587,1083669,1552032140031092769,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140032100256,1083670,1552032140031932879,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140032935390,1083671,1552032140032775441,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140033790689,1083672,1552032140033606086,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
1552032140035503660,1083673,1552032140035321169,leptrino,-7.6,0.95,-4.7,0.0488,0.036,-0.39
