%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032080877218840,1012749,1552032080877097016,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080878021922,1012750,1552032080877931266,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080878860751,1012751,1552032080878788564,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080880571365,1012752,1552032080880475836,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080880577749,1012753,1552032080880483279,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080881488608,1012754,1552032080881331557,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080882261881,1012755,1552032080882096286,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080883082371,1012756,1552032080882929014,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080883921222,1012757,1552032080883761585,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080884801295,1012758,1552032080884656755,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080885649773,1012759,1552032080885503843,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080886483931,1012760,1552032080886340741,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080887314378,1012761,1552032080887171583,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080888144452,1012762,1552032080888004847,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080888943873,1012763,1552032080888820942,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080889812977,1012764,1552032080889683700,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080890652982,1012765,1552032080890481028,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080891514232,1012766,1552032080891363020,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080893150873,1012767,1552032080893002048,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080893160078,1012768,1552032080893027229,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080893948993,1012769,1552032080893832773,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080895663092,1012770,1552032080895486613,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080895672859,1012771,1552032080895495950,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080896485383,1012772,1552032080896302428,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080897306090,1012773,1552032080897138335,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080898130303,1012774,1552032080897967357,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080898966656,1012775,1552032080898803195,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080900702532,1012776,1552032080900531894,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080900711223,1012777,1552032080900542320,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080901481513,1012778,1552032080901312645,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080902293113,1012779,1552032080902149231,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080903136854,1012780,1552032080902983820,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080904844041,1012781,1552032080904691751,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080904858561,1012782,1552032080904703434,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080905672361,1012783,1552032080905504454,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080906500582,1012784,1552032080906357794,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080908185142,1012785,1552032080908015565,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080908195020,1012786,1552032080908022297,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080908991207,1012787,1552032080908845500,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080909828957,1012788,1552032080909664797,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080910676299,1012789,1552032080910512406,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
1552032080911546204,1012790,1552032080911351188,leptrino,-7.55,0.8,-4.9,0.0456,0.0328,-0.3844
