%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552033350205727130,2534396,1552033350205561990,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350206535359,2534397,1552033350206394053,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350207356538,2534398,1552033350207227096,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350208197971,2534399,1552033350208060038,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350208991341,2534400,1552033350208916339,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350209877498,2534401,1552033350209728402,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350210740846,2534402,1552033350210586812,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350211560613,2534403,1552033350211394671,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350212390166,2534404,1552033350212227630,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350213217213,2534405,1552033350213061325,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350214047867,2534406,1552033350213894651,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350214887425,2534407,1552033350214730130,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350215719321,2534408,1552033350215563485,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350216569085,2534409,1552033350216396569,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350217430976,2534410,1552033350217257004,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350218234499,2534411,1552033350218064267,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350219052216,2534412,1552033350218897771,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350219917198,2534413,1552033350219754472,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350220707158,2534414,1552033350220567677,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350221563117,2534415,1552033350221400026,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350222447840,2534416,1552033350222278120,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350223254113,2534417,1552033350223101194,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
1552033350224043169,2534418,1552033350223932988,leptrino,-7.6,0.8,-5.05,0.042,0.0292,-0.3836
