%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032431441977236,1432989,1552032431441803703,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431442728637,1432990,1552032431442648968,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431443629529,1432991,1552032431443491774,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431444515415,1432992,1552032431444343247,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431445333022,1432993,1552032431445148725,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431446186422,1432994,1552032431446015110,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431447256045,1432995,1552032431447044409,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431447764640,1432996,1552032431447650333,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431448662616,1432997,1552032431448482889,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431449518362,1432998,1552032431449337774,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431450313209,1432999,1552032431450176182,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431451151270,1433000,1552032431451005622,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3876
1552032431451948271,1433001,1552032431451817953,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3872
1552032431452821730,1433002,1552032431452684433,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3872
1552032431453685961,1433003,1552032431453510713,leptrino,-7.55,0.9,-5.0,0.044,0.0308,-0.3872
1552032431454523711,1433004,1552032431454344363,leptrino,-7.55,0.9,-5.0,0.044,0.0308,-0.3872
1552032431455310183,1433005,1552032431455148718,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431456151953,1433006,1552032431456019044,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431456975318,1433007,1552032431456843353,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431457841179,1433008,1552032431457677154,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431458637759,1433009,1552032431458509545,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431459517063,1433010,1552032431459349196,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431460288035,1433011,1552032431460145564,leptrino,-7.55,0.9,-4.95,0.044,0.0312,-0.3872
1552032431461157951,1433012,1552032431460980621,leptrino,-7.6,0.9,-4.95,0.044,0.0312,-0.3868
1552032431461980456,1433013,1552032431461814451,leptrino,-7.6,0.9,-4.95,0.044,0.0312,-0.3868
1552032431462801170,1433014,1552032431462647237,leptrino,-7.6,0.9,-4.95,0.044,0.0312,-0.3868
1552032431463640338,1433015,1552032431463480645,leptrino,-7.6,0.9,-4.95,0.044,0.0312,-0.3868
1552032431464462203,1433016,1552032431464313742,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431465295544,1433017,1552032431465147520,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431466125203,1433018,1552032431465980951,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431466959845,1433019,1552032431466815350,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431467788696,1433020,1552032431467647765,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431468631159,1433021,1552032431468481027,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431469500059,1433022,1552032431469348996,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431470328703,1433023,1552032431470172262,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431471154524,1433024,1552032431471010555,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431471940485,1433025,1552032431471813279,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431472796175,1433026,1552032431472646422,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431473606097,1433027,1552032431473480162,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431474454748,1433028,1552032431474313066,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431475282605,1433029,1552032431475146292,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431476112608,1433030,1552032431475979973,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431476958248,1433031,1552032431476813399,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431477791997,1433032,1552032431477646372,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431478591340,1433033,1552032431478479993,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431479429185,1433034,1552032431479312510,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431480294355,1433035,1552032431480145800,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431481149862,1433036,1552032431480983318,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431481974813,1433037,1552032431481817340,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
1552032431482797051,1433038,1552032431482650766,leptrino,-7.6,0.9,-5.0,0.044,0.0312,-0.3868
